,ip,date,asn,dns_name,port,pep_link
10790,98.97.54.252,2025-05-17,14593,['customer.mmmiflx1.pop.starlinkisp.net'],[ 500 9844],[False False]
10791,129.222.249.85,2025-05-17,14593,['customer.atlagax1.pop.starlinkisp.net'],[500],[False]
10792,87.251.24.245,2025-05-17,14593,['customer.frntdeu1.pop.starlinkisp.net'],[4100 4443],[False False]
10793,98.97.110.32,2025-05-17,14593,['customer.dnvrcox1.pop.starlinkisp.net'],[4110 4443],[False False]
10794,129.222.170.13,2025-05-17,14593,['customer.sntochl1.pop.starlinkisp.net'],[  22   53 8887],[False False False]
10795,14.1.70.228,2025-05-17,14593,['customer.acklnzl1.pop.starlinkisp.net'],[   21    22    80  2000 17572],[False False False False False]
10796,66.9.172.199,2025-05-17,14593,['customer.mmmiflx1.pop.starlinkisp.net'],[  53  500 1701 2000],[False False False False]
10797,129.222.170.17,2025-05-17,14593,['customer.sntochl1.pop.starlinkisp.net'],[   21    22    23   161 11500],[False False False False False]
10798,206.83.96.85,2025-05-17,14593,[],[500],[False]
10799,98.97.106.89,2025-05-17,14593,['customer.dnvrcox1.pop.starlinkisp.net'],[500],[False]
10800,98.97.111.21,2025-05-17,14593,['customer.dnvrcox1.pop.starlinkisp.net'],[500],[False]
10801,217.65.137.41,2025-05-17,14593,[],[4002 5002 5003 5005 5008],[False False False False False]
